Object ID,State GNIS Code,Geographic Identifier - FIPS Code,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Householder","Median Household Income in past 12 months, Black or African American Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Householder","Median Household Income in past 12 months, American Indian and Alaska Native Householder - Margin of Error","Median Household Income in past 12 months, Asian Householder","Median Household Income in past 12 months, Asian Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Householder","Median Household Income in past 12 months, Some Other Race Householder - Margin of Error","Median Household Income in past 12 months, 2 or More Races Householder","Median Household Income in past 12 months, 2 or More Races Householder - Margin of Error","Median Household Income in past 12 months, Non-Hispanic White Householder","Median Household Income in past 12 months, Non-Hispanic White Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,x,y
43,01325873,47,TN,Tennessee,106802728188,2350123465,50972,250,29429,729,55707,505,59578,503,39089,308,36683,489,43212,5413,72881,2998,26466,19206,37533,1954,42803,2037,54469,277,41338,936,2567061,6524,277617,3475,2289444,6202,10.8,0.132549305808638,-86.3397866034863,35.8470257836399
44,01779801,48,TX,Texas,676653171537,19006305260,59570,209,31149,359,63253,298,71455,407,43411,212,44688,468,52094,2038,84851,988,53659,5341,44048,547,58037,1235,73059,291,46893,253,9553046,18343,1115124,8361,8437922,16330,11.7,0.0846032164892223,-99.3717699000508,31.5724078615364
45,01455989,49,UT,Utah,212886221680,6998824394,68374,437,37318,1298,72045,582,84726,873,51172,683,42739,3211,41942,2831,70759,2610,64594,4482,48967,953,59343,1978,71859,463,49787,851,957619,2261,121417,2285,836202,2890,12.7,0.236727323707943,-111.682412156266,39.3642277011554
46,01779802,50,VT,Vermont,23874175944,1030416650,60076,656,33244,2411,67976,1268,71566,1238,42542,921,43548,5757,41793,8469,55568,8056,,,60078,11934,45496,4793,60787,705,51322,5322,259589,1229,41272,1012,218317,1380,15.9,0.382511169796584,-72.6609250559808,44.0853991096012
47,01779803,51,VA,Virginia,102257717110,8528531774,71564,326,34975,816,76934,602,86769,675,51230,395,49273,614,61850,4510,102735,1786,79474,13241,56708,1728,72469,1564,77315,351,66452,1452,3128415,7210,321167,3423,2807248,7207,10.3,0.106827676568255,-78.8747539368959,37.5231892631893
48,01779804,53,WA,Washington,172112588220,12559278850,70116,308,38158,994,77436,468,84306,606,49616,374,50487,1625,45558,2121,90131,1404,65024,4289,49832,1137,63873,1324,72813,302,52879,748,2800423,5474,317041,3680,2483382,5716,11.3,0.129531979457587,-120.43028570438,47.397180774417
49,01779805,54,WV,West Virginia,62266474513,489028543,44921,470,23874,1679,52786,950,52261,784,35779,429,32070,1702,29927,5199,58521,4804,60318,44888,32121,18318,40758,3168,45449,459,45765,4464,734676,2910,48221,1424,686455,3082,6.6,0.192075489740026,-80.6087400153847,38.6519367078775
50,01779806,55,WI,Wisconsin,140290039723,29344951758,59209,236,31712,542,67042,515,73206,380,40383,302,30002,669,41594,1402,66408,1876,38836,11448,41759,1525,47712,1988,62539,216,44464,1362,2343129,6471,232869,2358,2110260,5984,9.9,0.0968194835838745,-90.0210439383857,44.6652937790237
51,01779807,56,WY,Wyoming,251458544898,1867670745,62268,932,30764,2116,72111,1765,74718,1798,42937,1560,44712,13672,49352,6275,54025,8831,137572,130800,42027,3465,54317,6653,63842,882,49059,3046,230630,1390,28140,1102,202490,1663,12.2,0.472128981020172,-107.55143503067,43.0321218585002
52,01779808,72,PR,Puerto Rico,8868896030,4922382562,20166,190,6666,634,22421,454,23630,327,17201,168,19496,479,23558,4306,17146,7451,,,16874,387,21523,943,30534,3147,20079,193,1205075,4286,102661,2142,1102414,4685,8.5,0.175146835598855,-66.4785923809415,18.2250706456559
