Object ID,State GNIS Code,fips,State FIPS Postal Code,state,Area of Land (Square Meters),Area of Water (Square Meters),Total Population 15 Years and Over,Total Population 15 Years and Over - Margin of Error,Male Population 15 Years and Over,Male Population 15 Years and Over - Margin of Error,Males who are Never Married,Males who are Never Married - Margin of Error,All Males who are Married,All Males who are Married - Margin of Error,"Males who are Married, Spouse Present","Males who are Married, Spouse Present - Margin of Error","All Males who are Married, Spouse Absent","All Males who are Married, Spouse Absent - Margin of Error","Males who are Married, Spouse Absent (Separated)","Males who are Married, Spouse Absent (Separated) - Margin of Error","Males who are Married, Spouse Absent (Other Absence)","Males who are Married, Spouse Absent (Other Absence) - Margin of Error",Males who are Widowed,Males who are Widowed - Margin of Error,Males who are Divorced,Males who are Divorced - Margin of Error,Female Population 15 Years and Over,Female Population 15 Years and Over - Margin of Error,Females who are Never Married,Females who are Never Married - Margin of Error,All Females who are Married,All Females who are Married - Margin of Error,"Females who are Married, Spouse Present","Females who are Married, Spouse Present - Margin of Error","All Females who are Married, Spouse Absent","All Females who are Married, Spouse Absent - Margin of Error","Females who are Married, Spouse Absent (Separated)","Females who are Married, Spouse Absent (Separated) - Margin of Error","Females who are Married, Spouse Absent (Other Absence)","Females who are Married, Spouse Absent (Other Absence) - Margin of Error",Females who are Widowed,Females who are Widowed - Margin of Error,Females who are Divorced,Females who are Divorced - Margin of Error,Total Never Married,Total Never Married - Margin of Error,Percent Never Married,Percent Never Married - Margin of Error,Total Married,Total Married - Margin of Error,Percent Married,Percent Married - Margin of Error,Total Widowed,Total Widowed - Margin of Error,Percent Widowed,Percent Widowed - Margin of Error,Total Divorced,Total Divorced - Margin of Error,Percent Divorced,Percent Divorced - Margin of Error,x,y
34,01027616,37,NC,North Carolina,125923656064,13466071395,8258389,768,3975549,1179,1361510,7707,2134377,10663,1933940,12338,200437,3923,97653,2754,102784,2757,109035,2372,370627,5009,4282840,1014,1234556,6042,2128942,8796,1906468,10338,222474,3788,129059,2724,93415,2211,399986,3787,519356,4606,2596066,9793,31.4,0.118546409639634,4263319,13823,51.6,0.167312450209401,509021,4469,6.2,0.0541116347034534,889983,6805,10.8,0.0823949643161677,-79.3637118571318,35.5466450622037
35,01779797,38,ND,North Dakota,178707534813,4403267548,604455,478,310399,569,113320,1579,162363,1740,152634,1999,9729,691,2649,355,7080,630,7437,565,27279,899,294056,447,79310,1476,159041,1791,151679,1902,7362,616,2481,385,4881,497,26516,707,29189,1014,192630,2161,31.9,0.356622799776493,321404,2497,53.2,0.4109538113416,33953,905,5.6,0.149655742222856,56468,1355,9.3,0.224047115838207,-100.471113855255,47.4685693290347
36,01085497,39,OH,Ohio,105828882568,10268850702,9484714,747,4601042,901,1625007,8157,2339397,10648,2180619,12034,158778,3223,67992,1939,90786,2262,136262,2312,500376,5245,4883672,915,1429838,6676,2349161,9231,2176766,10650,172395,3408,89355,2044,83040,2597,467127,3247,637546,5016,3054845,10541,32.2,0.111107766698745,4688558,14092,49.4,0.148524891081161,603389,3986,6.4,0.0420225291677726,1137922,7257,12,0.0765067517039353,-82.7881144032045,40.3081697476852
37,01102857,40,OK,Oklahoma,177662925723,3374587997,3117147,455,1531951,649,494089,2983,807073,3376,736722,3565,70351,1611,27970,1014,42381,1199,47185,1173,183604,2451,1585196,525,398960,2648,805822,3690,732874,3768,72948,1630,35686,1216,37262,1184,154781,1889,225633,2328,893049,3989,28.6,0.127901234808654,1612895,5001,51.7,0.160257291260402,201966,2224,6.5,0.0713410244199762,409237,3380,13.1,0.108415551394187,-97.5154977833938,35.5990615809058
38,01155107,41,OR,Oregon,248606993270,6192386935,3361828,462,1654299,516,566518,3658,857439,5238,794013,5591,63426,1889,23273,1082,40153,1462,41590,1469,188752,3024,1707529,502,465125,3675,859490,5401,790134,5494,69356,2234,31544,1468,37812,1483,137028,2547,245886,3391,1031643,5185,30.7,0.154173901011094,1716929,7524,51.1,0.223696734488913,178618,2940,5.3,0.0874493735553171,434638,4544,12.9,0.135152881420179,-120.552210322461,43.9693307831448
39,01779798,42,PA,Pennsylvania,115884442321,3394589990,10589934,447,5137379,553,1871651,8444,2665351,11347,2460658,13054,204693,3541,95405,2317,109288,2544,156304,2080,444073,4644,5452555,611,1659804,8127,2660114,10494,2440282,11896,219832,4505,124639,2892,95193,3239,557181,4177,575456,5368,3531455,11720,33.3,0.110662181910281,5325465,15456,50.3,0.145934481694574,713485,4666,6.7,0.0440597911994332,1019529,7098,9.6,0.0670246815844627,-77.7997846934395,40.8836410342814
40,01219835,44,RI,Rhode Island,2677779902,1323670487,885546,130,425599,211,167844,1955,206274,2112,189474,2214,16800,927,4981,501,11819,827,11090,692,40391,1335,459947,234,156024,1981,202835,2218,183931,2221,18904,943,8666,659,10238,663,42802,1261,58286,1467,323868,2783,36.6,0.314223523973011,409109,3063,46.2,0.34582180332577,53892,1438,6.1,0.162383234362091,98677,1984,11.1,0.224036596094424,-71.5875066739124,41.6961554477739
41,01779799,45,SC,South Carolina,77864918488,5075218778,4046152,605,1942449,689,683498,5610,1011912,7199,914720,7593,97192,2500,49276,1885,47916,1683,58692,1842,188347,3314,2103703,678,622534,4071,1019849,6433,907357,7004,112492,2498,69343,1867,43149,1830,211594,2564,249726,3537,1306032,6931,32.3,0.171230550479786,2031761,9654,50.2,0.238478899097526,270286,3157,6.7,0.0780183568439004,438073,4847,10.8,0.119781890912284,-80.8985136351716,33.916214884517
42,01785534,46,SD,South Dakota,196346981786,3382720225,684876,415,343982,603,117435,1554,182640,1963,172823,2077,9817,690,3435,389,6382,591,9170,619,34737,1232,340894,547,91773,1444,180361,1598,170137,1739,10224,552,3935,357,6289,427,31830,810,36930,1070,209208,2121,30.5,0.309137448213648,363001,2531,53,0.368157726554529,41000,1019,6,0.148741830524795,71667,1632,10.5,0.238206933842643,-100.232226625261,44.4553415401531
43,01325873,47,TN,Tennessee,106802728188,2350123465,5407264,965,2608864,1004,857483,5604,1384103,7842,1272601,8592,111502,2836,50308,1886,61194,1961,76392,1809,290886,4267,2798400,1133,762867,5356,1392112,7979,1265846,8634,126266,3097,68071,2122,58195,1865,266958,2956,376463,4516,1620350,7752,30,0.143262925368861,2776215,11188,51.3,0.206703874586061,343350,3466,6.3,0.0640889424357494,667349,6213,12.3,0.114879880097205,-86.3397866034863,35.8470257836399
